FOR4_CODE,FOR4_NAME,START_YEAR,AAU_funding,CMU_funding,aau_share,cmu_share,targeting_index,growth_rate,AAU_total,inverse_targeting,growth_norm,inverse_targeting_norm,scale_norm,opportunity_score,CMU_total,under_target_gap
3001,Agricultural Biotechnology,2024,1123737.0,0.0,0.0001666909593521,0.0,0.0,-0.4487921293739097,5031594.0,1.0,0.5424792000950134,1.0,0.1462002416003506,0.6431696362875593,0.0,0.0001666909593521
3002,"Agriculture, Land and Farm Management",2024,2526250.0,0.0,0.0003747345117792,0.0,0.0,0.3280093847952403,10894251.0,1.0,0.6452040967387478,1.0,0.253914489416654,0.710689221781872,0.0,0.0003747345117792
3003,Animal Production,2024,276127.0,0.0,4.09596502856286e-05,0.0,0.0,-1.176192954577649,6676531.0,1.0,0.4462870928132165,1.0,0.1856414050728549,0.6009897571675364,0.0,4.09596502856286e-05
3004,Crop and Pasture Production,2024,42103458.0,300000.0,0.0062454700753481,0.0021013932321184,0.336466784207806,0.7188535466399152,217588413.0,0.663533215792194,0.6968896629959712,0.663533215792194,0.6714381478368454,0.6813971792007804,0.0,0.0041440768432296
3005,Fisheries Sciences,2024,0.0,0.0,0.0,0.0,,,2275261.0,0.0,0.6018278551420703,0.0,0.035537818105463,0.3062446002868546,0.0,0.0
3006,Food Sciences,2024,0.0,0.0,0.0,0.0,,,9285195.0,0.0,0.6018278551420703,0.0,0.2316306267973842,0.3356585215906427,0.0,0.0
3007,Forestry Sciences,2024,13040929.0,0.0,0.0019344428152252,0.0,0.0,0.1692598723170118,68291672.0,1.0,0.6242109254277837,1.0,0.5098570143496123,0.7385840148663336,0.0,0.0019344428152252
3008,Horticultural Production,2024,3476512.0,0.0,0.0005156928360275,0.0,0.0,-0.6287870598824855,42242131.0,1.0,0.518676516532191,1.0,0.4428760702266494,0.6757696688000929,0.0,0.0005156928360275
3009,Veterinary Sciences,2024,5992787.0,0.0,0.0008889476934753,0.0,0.0,0.303759181071279,29899355.0,1.0,0.6419972290567275,1.0,0.394689534713164,0.7302020447353383,0.0,0.0008889476934753
3101,Biochemistry and Cell Biology,2024,107968454.0,787266.0,0.0160156381582387,0.0055145181475899,0.3443208502280733,-0.2493489017128621,699112150.0,0.6556791497719267,0.5688537431076995,0.6556791497719267,0.8341889389695788,0.6390429148194608,0.0,0.0105011200106487
3102,Bioinformatics and Computational Biology,2024,49146305.0,1182029.0,0.0072901797565281,0.0082796924692258,1.1357322790033633,-0.1367156391851595,321396747.0,0.0,0.5837484620812845,0.0,0.7258281867294195,0.4007484590500552,0.0,-0.0009895127126977
3103,Ecology,2024,53564750.0,0.0,0.0079455954239792,0.0,0.0,-0.0962050932898326,329468338.0,1.0,0.589105611319761,1.0,0.7292867527027153,0.7539458185652878,0.0,0.0079455954239792
3104,Evolutionary Biology,2024,8954594.0,0.0,0.0013282911076779,0.0,0.0,-0.7072375342182184,79719541.0,1.0,0.5083021587061644,1.0,0.5314315512421693,0.6838658120394077,0.0,0.0013282911076779
3105,Genetics,2024,49950632.0,48974.0,0.0074094906266541,0.0003430454404992,0.0462981138359492,-0.4030538119863991,379439237.0,0.9537018861640508,0.5485276743070079,0.9537018861640508,0.7489771300600574,0.7204060668199302,0.0,0.0070664451861549
